timestamp,date,open,high,low,close,volume
1546314300,2019-01-01,1896.00,1910.00,1885.00,1902.80,1094883
1546400700,2019-01-02,1905.00,1934.45,1900.00,1923.30,2100463
1546487100,2019-01-03,1919.00,1944.95,1893.10,1899.95,2611668
1546573500,2019-01-04,1900.00,1901.20,1841.00,1876.85,4280862
1546832700,2019-01-07,1891.80,1908.80,1881.00,1897.90,1856423
1546919100,2019-01-08,1905.40,1906.40,1883.30,1893.55,1691756
1547005500,2019-01-09,1907.40,1919.00,1866.70,1886.95,2414376
1547091900,2019-01-10,1890.00,1905.00,1872.10,1888.55,3053461
1547178300,2019-01-11,1870.00,1875.00,1835.00,1842.55,9209862
1547437500,2019-01-14,1850.00,1851.00,1810.00,1813.25,3615370
1547523900,2019-01-15,1810.00,1869.35,1808.00,1867.80,7711653
1547610300,2019-01-16,1870.00,1875.00,1847.00,1870.15,2359280
1547696700,2019-01-17,1878.00,1898.00,1871.30,1894.30,2625816
1547783100,2019-01-18,1881.00,1904.20,1876.00,1900.65,1683728
1548042300,2019-01-21,1902.00,1932.00,1895.45,1908.70,2409803
1548128700,2019-01-22,1907.10,1918.25,1890.00,1901.90,2457093
1548215100,2019-01-23,1901.00,1906.10,1870.00,1875.60,2578169
1548301500,2019-01-24,1884.80,1905.25,1875.00,1901.55,1962927
1548387900,2019-01-25,1902.00,1935.00,1901.00,1920.80,2327080
1548647100,2019-01-28,1933.00,1962.00,1925.50,1955.00,2769033
1548733500,2019-01-29,1962.00,1989.05,1936.65,1982.75,2557626
1548819900,2019-01-30,1979.60,1989.50,1954.65,1981.40,2429575
1548906300,2019-01-31,1987.00,2019.75,1985.00,2014.10,4094319
1548992700,2019-02-01,2009.50,2034.75,1998.10,2029.95,3064163
1549251900,2019-02-04,2029.95,2055.45,2023.00,2050.25,1590764
1549338300,2019-02-05,2050.00,2055.00,2028.00,2044.55,1111404
1549424700,2019-02-06,2049.90,2086.85,2041.05,2074.80,1789812
1549511100,2019-02-07,2074.75,2097.95,2067.00,2082.90,1339945
1549597500,2019-02-08,2075.00,2089.50,2051.00,2061.40,1684474
1549856700,2019-02-11,2060.00,2096.00,2048.90,2065.90,1778730
1549943100,2019-02-12,2070.00,2070.00,2018.00,2051.60,2422903
1550115900,2019-02-14,2060.05,2075.00,2033.05,2044.60,1724085
1550202300,2019-02-15,2049.00,2052.00,2010.95,2029.70,1930065
